ts,device_id,value
2025-09-09 00:30:02.186166+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 01:00:02.351807+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.5
2025-09-09 01:30:01.979765+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-09 02:00:02.155008+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-09 02:30:01.967282+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-09 03:00:02.351604+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-09 03:30:01.578169+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-09 04:00:01.875396+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-09 04:30:02.194740+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 05:00:02.464768+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-09 05:30:02.187042+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-09 06:00:02.141742+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 06:30:01.776765+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 07:00:02.025070+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-09 07:30:01.728882+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-09 08:00:02.271215+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-09 08:30:01.827070+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-09 09:00:02.288891+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-09 09:30:02.359522+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-09 10:00:02.034167+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 10:30:01.970062+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-09 11:00:01.761403+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-09 11:30:02.507704+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-09 12:00:01.893437+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-09 12:30:01.815764+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-09 13:00:02.249542+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-09 13:30:01.983109+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-09 14:00:01.776714+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-09 14:30:02.257440+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-09 15:00:01.980538+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-09 15:30:02.181106+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-09 16:00:02.321846+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-09 16:30:02.134028+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.9
2025-09-09 17:00:02.236098+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-09 17:30:02.841218+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-09 18:00:02.379833+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-09 18:30:02.211634+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-09 19:00:02.244736+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-09 19:30:02.116033+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-09 20:00:02.227918+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-09 20:30:01.806468+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-09 21:00:02.433303+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-09 21:30:02.283433+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-09 22:00:01.995757+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-09 22:30:02.027041+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-09 23:00:02.163301+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-09 23:30:01.711866+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,29.2
2025-09-10 00:00:01.796978+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-10 00:30:02.331754+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-10 01:00:01.802872+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-10 01:30:02.175130+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-10 02:00:02.696722+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.6
2025-09-10 02:30:01.964831+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-10 03:00:02.390399+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-10 03:30:02.195304+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-10 04:00:02.457747+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-10 04:30:02.256834+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 05:00:02.310246+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-10 05:30:02.760914+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.7
2025-09-10 06:00:02.113380+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.2
2025-09-10 06:30:02.131853+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-10 07:00:02.012472+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-10 07:30:02.019346+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-10 08:00:01.899197+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-10 08:30:01.716839+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-10 09:00:02.087726+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-10 09:30:01.988136+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.8
2025-09-10 10:00:02.197103+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
